id,chip_processing,env
Monticello,1,usa
AF2376-5,2,usa
MSL211-3,2,usa
MSL766-1,2,usa
MSL268-D,2,usa
JacquelineLee,2,usa
MSQ176-5,2,usa
Missaukee,1,usa
MSK061-4,1,usa
MSQ070-1,1,usa
BeaconChipper,1,usa
KeukaGold,2,usa
Norwis,1,usa
Jowon,2,korea
Chippewa,2,usa
Sebago,2,korea
Katahdin,2,usa
Monona,1,usa
LaChipper,1,usa
StarQueen,2,japan
Jinseon,1,korea
GrandFalls,2,usa
Hikaru,2,japan
ArirangNo.2,2,korea
MN19350,1,usa
MSI005-20Y,2,usa
MN19470,1,usa
PentlandCrown,2,uk
Kalkaska,1,usa
Sepoong,2,korea
F66041,2,usa
F58050,1,usa
MSH228-6,1,usa
Reba,2,usa
Andover,1,usa
Elba,2,usa
Chipeta,1,usa
MSK409-1,1,usa
MSJ126-9Y,1,usa
C31-5-115,1,usa
C31-5-120,1,usa
Wauseon,1,usa
ReevesKingpin,2,usa
Gahwang,2,korea
Dami,2,korea
Daekwan1-123,2,korea
NYE48-2,1,usa
PrinceHairy,2,usa
KingHarry,2,usa
Marcy,1,usa
ND8229-3,2,usa
Daekwan1-159,2,korea
Daekwan1-160,2,korea
Salem,2,usa
Rosa,2,usa
DakotaCrisp,1,usa
YankeeChipper,1,usa
AF2291-10,1,usa
MaineChip,1,usa
DragonRed,2,usa
Aino-aka,2,japan
DarkRedNorland,2,usa
MN19298,2,usa
VillettaRose,2,usa
NorDonna,2,usa
DakotaJewel,2,usa
Modoc,2,usa
ND8555-8R,2,usa
NY136,2,usa
Winema,2,usa
Daekwan2-60,2,korea
AdirondackBlue,2,usa
OR00068-11,2,usa
PurpleMajesty,2,usa
ShadowQueen,2,japan
AllBlue,2,usa
Hongyoung,2,korea
Hongjiseul,2,korea
Jaekyo-P-15,2,korea
Jayoung,2,korea
Chieftain,2,usa
RedMaria,2,usa
KlamathRusset,2,usa
RussetNorkotah,2,usa
GemStarRusset,2,usa
Alturas,2,usa
ClearwaterRusset,2,usa
BannockRusset,2,usa
PremierRusset,2,usa
AlpineRusset,2,usa
CV98112-3,2,usa
CanelaRusset,2,usa
AO96141-3,2,usa
BlazerRusset,2,usa
ClassicRusset,2,usa
AO96160-3,2,usa
RioGrandeRusset,2,usa
AO96164-1,2,usa
UmatillaRusset,2,usa
TrailBlazerRusset,2,usa
TokachiPirika,2,japan
Yukirasha,2,japan
BakeKing,2,usa
Namseo,2,korea
Eramosa,2,usa
MountainRose,2,usa
Gemchip,1,usa
Sinnamjak,2,korea
PA99N82-4,2,usa
Spunta,2,nederland
Cascade,2,usa
WesternRusset,2,usa
W2683-2rus,2,usa
Shiretoko,2,japan
Penobscot,2,usa
ACBrador,2,usa
Ontario,2,usa
CentennialRusset,2,usa
W1151rus,2,usa
W2253-5rus,2,usa
NorkingRusset_hari,2,usa
FreedomRusset,2,usa
MN02467,2,usa
Kennebec,2,usa
Langlade,2,usa
OR00002-7,2,usa
Defender,2,usa
WallowaRusset,2,usa
RangerRusset,2,usa
HighlandRusset,2,usa
SilvertonRusset,2,usa
CV96022-3,2,usa
A97066-42,2,usa
AWN86514-2,2,usa
Kitamusashi,2,japan
AF2574-1,2,usa
POR01PG1-6,2,usa
V1102-1,1,usa
MWTX2609-2RU,2,usa
Rideau,2,usa
IdaRose,2,usa
MichiganPurple,2,usa
MSN215-2P,2,usa
MN15620,2,usa
MN96072-4,2,usa
Saikai35,2,japan
NagasakiKogane,2,japan
10H17,2,japan
Harimaru,2,japan
PapaNegras,2,spain
IncaGold,2,usa
RedMoon,2,japan
NY142,2,usa
POR02PG37-2,2,usa
InkaRed,2,usa
Hatsufubuki,2,japan
Hokkai50,2,japan
Chitose,2,japan
IrishCobbler,2,japan
Chijiwa,2,japan
Setoyutaka,2,japan
Unzen,2,japan
Meihou,2,japan
Piruka,2,usa
Waseshiro,2,usa
InkaPurple,2,usa
Hokkai-aka,2,japan
Shimabara,2,japan
Yoraku,2,japan
Rishiri,2,japan
Tarumae,2,japan
Oojiro,2,japan
Norin1,2,japan
Triumph,2,usa
GarnetChile,2,usa
PurplePeruvian,2,usa
Nemuromurasaki,2,japan
Kintoki-imo,2,japan
GreenMountain,2,usa
RussetBurbank,2,usa
MayQueen,2,usa
Kobo-imo,2,japan
Benimaru,2,japan
EarlyRose,2,usa
Yukijiro,2,japan
Norin2,2,japan
Konayuki,2,japan
Bifukabeni,2,japan
Myojo,2,japan
Aiyutaka,2,japan
Kita-akari,2,japan
Fugenmaru,2,japan
Ranran-chip,1,japan
Touya,2,japan
LilasChip,1,japan
Yukitsubura,2,japan
Kitakamui,2,japan
StarRuby,2,japan
Akanekaze,2,japan
Beni-akari,2,japan
Kitamurasaki,2,japan
NorthernRuby,2,japan
Shizuki,2,japan
Tokachikogane,2,japan
Koganemaru,2,japan
Hanashibetsu,2,japan
Saya-akane,2,japan
EarlyStarch,2,japan
Sayaka,2,japan
Haruka,2,japan
Eniwa,2,japan
Toyoshiro,1,japan
Hokkaikogane,2,japan
Toyo-akari,2,japan
Sakurafubuki,2,japan
Konafubuki,2,japan
Konahime,2,japan
Bihoro,2,japan
Inca-no-hoshi,2,japan
Konayutaka,2,japan
PearlStarch,2,japan
Musamaru,2,japan
Natsufubuki,2,japan
GoldenEgg,2,korea
V1115-3,2,usa
Raja,2,nederland
Tanja,2,germany
F02018,2,usa
Ezo-akari,2,japan
Hindenburg,2,usa
Eba,2,nederland
Bintje,2,nederland
RedRascal,2,newzealand
Seinaiji-ki-imo,2,japan
F87084,2,usa
Exploits,2,usa
PentlandDell,2,uk
Satina,2,germany
Patagonia,2,chile
Laura,2,austria
Sante,2,nederland
RochdaleGold-Doree,2,usa
