,Clone,country,Species,Market,Ploidy,Release Year,Release Range,Breeding Program
24,CentennialRusset,US,S. tuberosum Group Tuberosum,Table Russet,4x,1976,1970-1989,Colorado State University
25,Chieftain,US,S. tuberosum Group Tuberosum,Pigmented,4x,1966,1950-1969,North Dakota State University
26,Chipeta,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1993,1990-1999,"USDA ARS Aberdeen, Idaho"
27,Chippewa,US,S. tuberosum Group Tuberosum,Round White Table,4x,1933,1930-1949,"USDA ARS Beltsville, Maryland"
28,ClassicRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2008,2000-2009,"USDA ARS Aberdeen, Idaho"
29,ClearwaterRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2008,2000-2009,"USDA ARS Aberdeen, Idaho"
30,DakotaCrisp,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2005,2000-2009,North Dakota State University
31,DakotaDiamond,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2005,2000-2009,North Dakota State University
32,DakotaJewel,US,S. tuberosum Group Tuberosum,Pigmented,4x,2004,2000-2009,North Dakota State University
33,DakotaPearl,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1999,1990-1999,North Dakota State University
34,DarkRedNorland,US,S. tuberosum Group Tuberosum,Pigmented,4x,1999,1990-1999,North Dakota State University
35,Defender,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2004,2000-2009,"USDA ARS Aberdeen, Idaho"
36,Denali,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1978,1970-1989,University of Alaska
37,Elba,US,S. tuberosum Group Tuberosum,Round White Table,4x,1985,1970-1989,Cornell University
38,Eramosa,US,S. tuberosum Group Tuberosum,Round White Table,4x,1987,1970-1989,Cornell University
39,Eva,US,S. tuberosum Group Tuberosum/S. tuberosum Group Andigena,Round White Table,4x,1999,1990-1999,Cornell University
40,FreedomRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2008,2000-2009,University of Wisconsin - Madison
41,GemStarRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2004,2000-2009,"USDA ARS Aberdeen, Idaho"
42,HighlandRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2006,2000-2009,"USDA ARS Aberdeen, Idaho"
43,IdaRose,US,S. tuberosum Group Tuberosum,Pigmented,4x,2000,2000-2009,"USDA ARS Aberdeen, Idaho"
44,IncaGold,US,S. tuberosum Group Tuberosum/S. tuberosum Group Phureja,Yellow,4x,2010,2010-present,"Univeristy of California, Davis"
45,IvoryCrisp,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2002,2000-2009,"USDA ARS Aberdeen, Idaho"
46,Jacqueline Lee,US,S. tuberosum Group Tuberosum,Yellow,4x,1999,1990-1999,Michigan State University
47,Kalkaska,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2009,2000-2009,Michigan State University
48,Katahdin,US,S. tuberosum Group Tuberosum,Round White Table,4x,1932,1930-1949,"USDA ARS Beltsville, Maryland"
49,Kennebec,US,S. tuberosum Group Tuberosum,Round White Table,4x,1948,1930-1949,"USDA ARS Beltsville, Maryland"
50,KeukaGold,US,S. tuberosum Group Tuberosum,Yellow,4x,1999,1990-1999,Cornell University
51,KingHarry(NY131),US,S. tuberosum Group Tuberosum/S. berthaultii,Round White Table,4x,2008,2000-2009,Cornell University
52,KlamathRusset,US,S. tuberosum Group Tuberosum,Table Russet,4x,1999,1990-1999,Oregon State University
53,LaChipper,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1962,1950-1969,Louisiana State University
54,Lamoka(NY139),US,S. tuberosum Group Tuberosum,Chip Processing,4x,2011,2010-present,Cornell University
55,Langlade,US,S. tuberosum Group Tuberosum,Round White Table,4x,1985,1970-1989,University of Wisconsin - Madison
56,Lehigh,US,S. tuberosum Group Tuberosum,Yellow,4x,2007,2000-2009,Cornell University
57,Lelah(W2717-5),US,S. tuberosum Group Tuberosum/S. tarijense,Chip Processing,4x,2011,2010-present,University of Wisconsin - Madison
58,Lenape,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1967,1950-1969,"USDA ARS Beltsville, Maryland"
59,Liberator,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1999,1990-1999,Michigan State University
60,MaineChip,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1991,1990-1999,University of Maine
61,Marcy,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2006,2000-2009,Cornell University
62,MegaChip(W1201),US,S. tuberosum Group Tuberosum,Chip Processing,4x,2004,2000-2009,University of Wisconsin - Madison
63,MichiganPurple,US,S. tuberosum Group Tuberosum,Pigmented,4x,1999,1990-1999,Michigan State University
64,Missaukee(MSJ461-1),US,S. tuberosum Group Tuberosum,Round White Table,4x,2010,2010-present,Michigan State University
65,MN02419,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
66,MN02467,US,S. tuberosum Group Tuberosum,Yellow,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
67,MN02586,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
68,MN15620,US,S. tuberosum Group Tuberosum,Yellow,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
69,MN18747,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
70,MN19298,US,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
71,MN19350,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
72,MN19470,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
73,MN96072-4,US,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
74,MN99380-1,US,S. tuberosum Group Tuberosum,Yellow,4x,Advanced Breeding Line,Advanced Breeding Line,University of Minnesota - Twin Cities
75,Modoc,US,S. tuberosum Group Tuberosum,Pigmented,4x,2003,2000-2009,Oregon State University
76,Monona,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1981,1970-1989,"Frito Lay, Rhinelander, WI"
77,Monticello,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2003,2000-2009,Cornell University
78,Mountain Rose,US,S. tuberosum Group Tuberosum,Pigmented,4x,2005,2000-2009,Colorado State University
79,MSG227-2,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
80,MSH228-6,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
81,MSI005-20Y,US,S. tuberosum Group Tuberosum,Yellow,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
82,MSJ126-9Y,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
83,MSJ147-1,US,S. tuberosum Group Tuberosum/S. tarijense,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
84,MSK409-1,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
85,MSL211-3,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
86,MSL268-D,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
87,MSL292-A,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
88,MSL512-6,US,S. tuberosum Group Tuberosum/S. chacoense,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
89,MSL766-1,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
90,MSM051-3,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
91,MSM171-A,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
92,MSM182-1,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
93,MSM246-B,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
94,MSN191-2Y,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
95,MSN215-2P,US,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
96,MSP239-1,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
97,MSQ070-1,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
98,MSQ176-5,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
99,MSQ279-1,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
100,MSR061-1,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
101,MSR160-2Y,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Michigan State University
102,MWTX2609-2RU,US,S. tuberosum Group Tuberosum,Table Russet,4x,Advanced Breeding Line,Advanced Breeding Line,USDA ARS Prosser Washington
103,ND1215-1,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,North Dakota State University
104,ND2858-1,US,S. tuberosum Group Tuberosum/S. chacoense,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,North Dakota State University
105,ND8229-3,US,S. tuberosum Group Tuberosum/S. raphanifolium,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,North Dakota State University
106,ND8555-8R,US,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,North Dakota State University
107,ND860-2,US,S. tuberosum Group Tuberosum/S. tuberosum Group Phureja/S. chacoense,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,North Dakota State University
108,Nicolet(W2133-1),US,S. tuberosum Group Tuberosum,Chip Processing,4x,2011,2010-present,University of Wisconsin - Madison
109,Norchip,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1968,1950-1969,North Dakota State University
110,NorDonna,US,S. tuberosum Group Tuberosum,Pigmented,4x,1995,1990-1999,North Dakota State University
111,NorValley,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1997,1990-1999,North Dakota State University
112,Norwis(FL657),US,S. tuberosum Group Tuberosum,Chip Processing,4x,1994,1990-1999,"Frito Lay, Rhinelander, WI"
113,NY115,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Cornell University
114,NY136,US,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,Cornell University
115,NY140,US,S. tuberosum Group Tuberosum/S. tuberosum Group Andigena,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Cornell University
116,NY142,US,S. tuberosum Group Tuberosum/S. tuberosum Group Phureja,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,Cornell University
117,NYE48-2,US,S. tuberosum Group Tuberosum/S. berthaultii,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Cornell University
118,Ontario,US,S. tuberosum Group Tuberosum,Round White Table,4x,1946,1930-1949,"USDA ARS Beltsville, Maryland"
119,OR00002-7,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,Oregon State University
120,OR00068-11,US,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,Oregon State University
121,PA99N82-4,US,S. tuberosum Group Tuberosum/S. bulbocastanum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,USDA ARS Prosser Washington
122,PeterWilcox,US,S. tuberosum Group Tuberosum,Yellow,4x,2007,2000-2009,"USDA ARS Beltsville, Maryland"
123,Pike,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1995,1990-1999,Cornell University
124,POR01PG1-6,US,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,USDA ARS Prosser Washington
125,POR02PG37-2,US,S. tuberosum Group Tuberosum,Yellow,4x,Advanced Breeding Line,Advanced Breeding Line,USDA ARS Prosser Washington
126,PremierRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2006,2000-2009,"USDA ARS Aberdeen, Idaho"
127,PrinceHairy(NY235-4),US,S. tuberosum Group Tuberosum/S. berthaultii,Round White Table,4x,1992,1990-1999,Cornell University
128,PurpleMajesty,US,S. tuberosum Group Tuberosum,Pigmented,4x,2007,2000-2009,Colorado State University
129,RangerRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,1991,1990-1999,"USDA ARS Aberdeen, Idaho"
130,Reba,US,S. tuberosum Group Tuberosum,Round White Table,4x,1992,1990-1999,Cornell University
131,RedMaria(NY129),US,S. tuberosum Group Tuberosum,Pigmented,4x,2007,2000-2009,Cornell University
132,ReevesKingpin,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2006,2000-2009,University of Maine
133,RioGrandeRusset,US,S. tuberosum Group Tuberosum,Table Russet,4x,2004,2000-2009,Colorado State University
134,Rosa,US,S. tuberosum Group Tuberosum/S. tuberosum Group Andigena,Round White Table,4x,1981,1970-1989,Cornell University
135,RussetBurbank,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,1908,pre-1930,Private - Luther Burbank (Massachusetts)
136,RussetNorkotah-S3,US,S. tuberosum Group Tuberosum,Table Russet,4x,1991,1990-1999,Colorado State University
137,RussetNorkotah-S8,US,S. tuberosum Group Tuberosum,Table Russet,4x,1991,1990-1999,Colorado State University
138,Salem,US,S. tuberosum Group Tuberosum/S. tuberosum Group Andigena,Round White Table,4x,1997,1990-1999,Cornell University
139,Sebago,US,S. tuberosum Group Tuberosum,Round White Table,4x,1940,1930-1949,"USDA ARS Beltsville, Maryland"
140,SierraGold,US,S. tuberosum Group Tuberosum,Yellow,4x,2005,2000-2009,Texas A&M University
141,SilvertonRusset,US,S. tuberosum Group Tuberosum,Table Russet,4x,2000,2000-2009,Colorado State University
142,Snowden,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1990,1990-1999,University of Wisconsin - Madison
143,Superior,US,S. tuberosum Group Tuberosum,Round White Table,4x,1961,1950-1969,University of Wisconsin - Madison
144,TrailBlazerRusset(ROND95249-Russ),US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2011,2010-present,North Dakota State University
145,Tundra(W2310-3),US,S. tuberosum Group Tuberosum,Chip Processing,4x,2011,2010-present,University of Wisconsin - Madison
146,UmatillaRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,1998,1990-1999,Oregon State University
147,VillettaRose,US,S. tuberosum Group Tuberosum,Pigmented,4x,2004,2000-2009,University of Wisconsin - Madison
148,W1151rus,US,S. tuberosum Group Tuberosum,Table Russet,4x,Advanced Breeding Line,Advanced Breeding Line,University of Wisconsin - Madison
149,W2253-5rus,US,S. tuberosum Group Tuberosum,Table Russet,4x,Advanced Breeding Line,Advanced Breeding Line,University of Wisconsin - Madison
150,W2309-7,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Wisconsin - Madison
151,W2683-2rus,US,S. tuberosum Group Tuberosum,Table Russet,4x,Advanced Breeding Line,Advanced Breeding Line,University of Wisconsin - Madison
152,W4013-1,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Wisconsin - Madison
153,Wallowa Russet,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2003,2000-2009,Oregon State University
154,Waneta(NY138),US,S. tuberosum Group Tuberosum,Chip Processing,4x,2011,2010-present,Cornell University
155,Wauseon,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1967,1950-1969,"USDA ARS Beltsville, Maryland"
156,Westernrusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2004,2000-2009,"USDA ARS Aberdeen, Idaho"
157,WhitePearl,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2006,2000-2009,University of Wisconsin - Madison
158,Willamette,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2003,2000-2009,Oregon State University
159,Winema,US,S. tuberosum Group Tuberosum,Pigmented,4x,2000,2000-2009,Oregon State University
160,YankeeChipper,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1983,1970-1989,University of Maine
161,YukonGem,US,S. tuberosum Group Tuberosum,Yellow,4x,2006,2000-2009,"USDA ARS Aberdeen, Idaho"
162,EarlyRose,US,S. tuberosum Group Tuberosum,Round White Table,4x,1867,pre-1930,Private - Albert Bresee (Vermont)
163,GarnetChile,US,S. tuberosum Group Tuberosum,Pigmented,4x,1857,pre-1930,Private - Rev. Chauncey Goodrich (New York)
164,GreenMountain,US,S. tuberosum Group Tuberosum,Round White Table,4x,1885,pre-1930,Private - Orson Alexander (Vermont)
165,YukonGold,CA,S. tuberosum Group Tuberosum/S. tuberosum Group Phureja,Yellow,4x,1981,1970-1989,"Fredericton, New Brunswick"
166,V1102-1,CA,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
167,V1115-3,CA,S. tuberosum Group Tuberosum,Yellow,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
168,Rochdale Gold- Doree,CA,S. tuberosum Group Tuberosum,Yellow,4x,2005,2000-2009,"Fredericton, New Brunswick"
169,Northstar,CA,S. tuberosum Group Tuberosum,Chip Processing,4x,2006,2000-2009,"Fredericton, New Brunswick"
170,CV96022-3,CA,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
171,CV98112-3,CA,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
172,Rideau,CA,S. tuberosum Group Tuberosum,Pigmented,4x,1980,1970-1989,"Fredericton, New Brunswick"
173,ACBrador,CA,S. tuberosum Group Tuberosum,Yellow,4x,1991,1990-1999,"Fredericton, New Brunswick"
174,Exploits,CA,S. tuberosum Group Tuberosum,Round White Table,4x,2008,2000-2009,"Fredericton, New Brunswick"
175,F02018,CA,S. tuberosum Group Tuberosum,Pigmented,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
176,F58050,CA,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
177,F66041,CA,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
178,F87084,CA,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,"Fredericton, New Brunswick"
179,GrandFalls,CA,S. tuberosum Group Tuberosum,Round White Table,4x,1965,1950-1969,"Fredericton, New Brunswick"
180,Satina,GE,S. tuberosum Group Tuberosum,Yellow,4x,1993,1990-1999,"Solana GmbH & Co. KG, Germany"
181,Hindenburg,GE,S. tuberosum Group Tuberosum,Round White Table,4x,1916,pre-1930,Private - Kartz von Kameke (Germany)
182,Bintje,NL,S. tuberosum Group Tuberosum,Yellow,4x,1910,pre-1930,Private - K.L. de Vries (Netherlands)
183,Patagonia,CL,S. tuberosum Group Tuberosum,Yellow,4x,2009,2000-2009,"INIA, Chile"
184,PurplePeruvian,NA,S. tuberosum Group Tuberosum,Pigmented,4x,NA,NA,Unknown
185,AllBlue,NA,S. tuberosum Group Tuberosum,Pigmented,4x,1900,pre-1930,Unknown
186,IrishCobbler,NA,S. tuberosum Group Tuberosum,Round White Table,4x,1876,pre-1930,Unknown
